CookerStat, GenerateAssetRegistry=0.038877, Initialize=0.201531, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2FD4817B4FF070D2C47781B50296D__7ABCACEF863B65C4B1EC8A33F9393E78AC50DBCB, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=4194569, Duration=21.181725, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionIdA4FAA0E1485B542DFE65D0B8A9AD8756_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C66D053548B610513C2324A9E2435EA8_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.14-12.46.04, Duration=10.214388, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_19, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2FD4817B4FF070D2C47781B50296D__B4E349D9EF4F99EFDBB5B6A04A5B804AF404EA23, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=1048841, Duration=9.385869, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_20, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2FD4817B4FF070D2C47781B50296D__084789698575355459804245E65ECF56849F2ED5, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=262407, Duration=11.595261, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_21, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2FD4817B4FF070D2C47781B50296D__E14B34FBC57468D2EC13CB36D39355E1B080F3DD, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=65799, Duration=7.715762, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_22, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2FD4817B4FF070D2C47781B50296D__55C3AAF5F29A540490406E31ABC3D189CBA8D11C, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=16647, Duration=6.012693, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_23, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2FD4817B4FF070D2C47781B50296D__17726C73C9D4159E7BF9EB027508B1A9D26B4CA6, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=7493, Duration=6.075512, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_24, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C66D053548B610513C2324A9E2435__6DDC4296923310ADB796B88B6EDCE7EF7AB9FEF4, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=8454, Duration=11.130303, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_25, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C66D053548B610513C2324A9E2435__EC289F545ACA132CC917A967FA2F8C11F6AA32EB, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=2310, Duration=5.992785, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_26, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C66D053548B610513C2324A9E2435__698CA8CEF5B7A51EB96105332DAD76E9ADD9BFBA, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=1826, Duration=5.760152, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
